Personalization	type	Capability
RefinePolicyScenariosTask	type	Task
Human_Researcher	type	HumanAgent
BrainAgeEvaluation	hasMetricConcept	InterpretabilityMetric
GraphMemoModel_Instance	type	Model
HILLInspectionTeam	type	HITeam
AssessInfluenceAndConfirmationTask	type	Task
SimulateSocialInteractions	type	Capability
FaceMatchingDecisionSupportSystem	type	ArtificialAgent
CodeAssistantTeam	hasMember	AdultUser
BrainAgeExplanationExecution	evaluatedBy	BrainAgeEvaluation
ClinicalRecommendationExecution_01	hasInteractionEpisode	ClinicalAdviceTakingInteraction_01
Task_MoralJudgementSupport	requiresCapability	Responsibility
DAG20RandomStrategyExperiment	hasMetricTested	StrategyPerformanceMetric
Evidence_SimulationParameters	type	Data
CybersecurityExpert	performsExecution	RestoreAccessExecution
DesignerUser	hasCapability	Creativity
RunSocialSimulationsTask	type	Task
KnowledgeEngineeringDomain	type	Domain
AISecuritySystem	hasCapability	PatternRecognitionForThreatDetection
AnnaTherapist	performsExecution	ChildAssessmentExecution
AI_PaleoReconstructionAssistant	hasCapability	Adaptiveness
LongTermDialogueTeam	hasGoal	SustainLongTermDialogueGoal
Task_LifestyleRecommendation	requiresCapability	Adaptiveness
PolicySimulationAgent	performsExecution	PolicySimulationExecution
PolicySimulationGoal	type	Goal
hasInputData	range	Data
DrivingSupportInteraction_01	type	Interaction
AlexLearningSupportTeam	isInfluencedBy	PersonalizedLearningContext
Evidence_EEGSignalsUsed	type	Data
LearnerProfileData	type	Data
PolicySimulationInteraction	hasAgentInvolved	PolicySimulationAgent
LongTermMemoryRetrievalExecution	realizesTask	LongTermMemoryRetrievalTask
PromptSpecificationData	type	Data
Evidence_ArchaeologicalRecords	type	Data
requiresCapability	range	Capability
LongTermDialogueExecution_01	type	TaskExecution
HumanExperimenter	performsExecution	RepeatedInterventionsExecution
BlockSuspiciousTrafficTask	requiresCapability	PatternRecognitionForThreatDetection
NeurologistAgent	type	HumanAgent
ArchivalCollectionTask	requiresCapability	CulturalStewardship
UserModeling	type	Capability
CausalDiscoveryUseCase	hasDomain	CausalDiscoveryDomain
FaceMatchingHardSetTask	requiresCapability	ProvideMatchingSuggestions
BrainAgePredictionTeam	type	HITeam
PositiveReinforcementInteraction_01	type	Interaction
TrustCalibrationExecution	performedBy	TrustAssessmentSystem
DrivingRecommendationExecution_01	hasInteractionEpisode	DrivingSupportInteraction_01
Therapist	hasCapability	Responsibility
ProteinDiscoveryTeam	hasGoal	IdentifyNeuroprotectiveProteinsGoal
Interaction_LifestyleRecommendation	hasAgentInvolved	Human_User
ProteinAnalysisExecution	hasOutputData	PredictedProteinStructureData
LongTermMemoryEvaluation	hasExperiment	LongTermMemoryExperiment
Interaction_CollaborativeGameStrategy	type	Interaction
LiteratureCrossReferencingExecution	hasInputData	ProteinLiteratureCorpus
Task_LifestyleRecommendation	requiresCapability	Responsibility
ABSSSimulationSystem	operatesInContext	HealthcarePolicyContext
LiteratureCrossReferencingTask	requiresCapability	ClinicalJudgment
BrainAgeAssessmentTask	type	Task
Multimodal	type	Method
OntologyRepairExecution_01	performedBy	LLM_Agent
AutonomousCausalLearner	performsExecution	RepeatedInterventionsExecution
realizedBy	domain	Task
BlockSuspiciousTrafficExecution	type	TaskExecution
HILLInspectionExecution	realizesTask	LatentSpaceInspectionTask
NeurologistAgent	hasCapability	ClinicalDecisionSupportCapability
LongTermMemoryRetrievalExecution	hasOutputData	RetrievedMemoryData
AlexLearningSupportUseCase	hasHITeam	AlexLearningSupportTeam
BrainAgeExplanationData	type	Data
ProteinDiscoveryUseCase	hasHITeam	ProteinDiscoveryTeam
HILLExperiment	hasMetricTested	UsabilityMetric
CybersecurityThreatReviewInteraction	hasAgentInvolved	AISecuritySystem
ConsentAndGovernanceNegotiationExecution	realizesTask	DataGovernanceNegotiationTask
HybridHumanPolicyModelingUseCase	type	UseCase
NaoRobot	type	ArtificialAgent
DecisionSupportEvaluation	hasExperiment	Static5Experiment
GameplayCoordinationExecution_01	hasInputData	GameStateData
ClinicalOutcomeMetric	type	Metric
NoMachineExperiment	type	Experiment
AssistiveRobot	hasCapability	Personalization
BrainAgePredictionTeam	hasMember	BrainAgeSupportSystem
AnnaTherapist	type	HumanAgent
LongTermMemoryRetrievalExecution	hasInputData	LongMemoDialogueData
PolicySimulationExecution	realizesTask	ParticipatoryPolicySimulationTask
ArchivalCurationUseCase	type	UseCase
Engagement	type	Capability
DrEmilyChen	hasCapability	ClinicalJudgment
PublicPolicySimulationUseCase	hasDomain	GovernanceDomain
PAMAP2SensorData	type	Data
hasMethod	domain	Model
ClinicalAIDecisionSupportTool	type	ArtificialAgent
VRConversationalAgent	performsExecution	GazeAwareDialogueExecution
PolicySimulationExecution	type	TaskExecution
OntologyRepairExecution_01	hasOutputData	OntologyRepairSuggestionData
DecisionEvent_MoralJudgement	realizesTask	Task_MoralJudgementSupport
ProteinDiscoveryTeam	type	HITeam
CrossCheckThreatPredictionExecution	type	TaskExecution
FaceMatchingDecisionSupportSystem	operatesInContext	FaceMatchingStudyContext
SecurityDomain	type	Domain
FaceMatchingHITeam	isInfluencedBy	FaceMatchingStudyContext
Justification_SimulationResults	type	Data
MemoryAugmentedDialogueInteraction_01	type	Interaction
PublicPolicySimulationUseCase	type	UseCase
CodeAssistantTeam	isInfluencedBy	GeometryFriends
ABSSSimulationSystem	performsExecution	ABSSWhatIfAnalysisExecution
NaoRobot	operatesInContext	RobotAssistedLearningContext
PersonalizedLearningSupportTask	type	Task
Justification_EEGSignalAnalysis	type	Data
BrainAgeSupportSystem	hasCapability	ExplainabilityCapability
TherapeuticExpertise	allowsTask	ChildAssessmentTask
ImproveCybersecurityResponseGoal	type	Goal
OntologyRepairSuggestionData	type	Data
ProteinAnalysisExecution	performedBy	AlphaFoldSystem
GazeAwareDialogueExecution	hasInteractionEpisode	VRDialogueInteraction
CodeAssistantUseCase	hasHITeam	CodeAssistantTeam
DecisionEvent_TrustCalibration	hasInputData	Data_EEGSignals
